bronze_row_id,order_number,order_date,expected_receiving_date,shipping_date,order_status,customer_id,customer_company,customer_contact,employee_id,employee_name,office_id,office_city,product_number,product_name,product_category,source_product_category_code,unit_price,quantity,source_file,ingested_at_utc
1,10100,2003-01-06,2003-01-13,2003-01-10,Shipped,103,Atelier graphique,Carine Schmitt,1002,Diane Murphy,1,San Francisco,S18_1749,1917 Grand Touring Sedan,Vintage Cars,30,136,3,orderdetails.csv,2026-09-22T00:00:00Z
2,10100,2003-01-06,2003-01-13,2003-01-10,Shipped,103,Atelier graphique,Carine Schmitt,1002,Diane Murphy,1,San Francisco,S18_2248,1911 Ford Town Car,Vintage Cars,50,55.09,2,orderdetails.csv,2026-09-22T00:00:00Z
3,10100,2003-01-06,2003-01-13,2003-01-10,Shipped,103,Atelier graphique,Carine Schmitt,1002,Diane Murphy,1,San Francisco,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,Vintage Cars,22,75.46,4,orderdetails.csv,2026-09-22T00:00:00Z
4,10100,2003-01-06,2003-01-13,2003-01-10,Shipped,103,Atelier graphique,Carine Schmitt,1002,Diane Murphy,1,San Francisco,S24_3969,1936 Mercedes Benz 500k Roadster,Vintage Cars,49,35.29,1,orderdetails.csv,2026-09-22T00:00:00Z
5,10101,2003-01-09,2003-01-18,2003-01-11,Shipped,112,Signal Gift Stores,Jean King,1056,Mary Patterson,2,Boston,S18_2325,1932 Model A Ford J-Coupe,Vintage Cars,25,108.06,4,orderdetails.csv,2026-09-22T00:00:00Z
6,10101,2003-01-09,2003-01-18,2003-01-11,Shipped,112,Signal Gift Stores,Jean King,1056,Mary Patterson,2,Boston,S18_2795,1928 Mercedes-Benz SSK,Vintage Cars,26,167.06,1,orderdetails.csv,2026-09-22T00:00:00Z
7,10101,2003-01-09,2003-01-18,2003-01-11,Shipped,112,Signal Gift Stores,Jean King,1056,Mary Patterson,2,Boston,S24_1937,1939 Chevrolet Deluxe Coupe,Vintage Cars,45,32.53,3,orderdetails.csv,2026-09-22T00:00:00Z
8,10101,2003-01-09,2003-01-18,2003-01-11,Shipped,112,Signal Gift Stores,Jean King,1056,Mary Patterson,2,Boston,S24_2022,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,46,44.35,2,orderdetails.csv,2026-09-22T00:00:00Z
9,10102,2003-01-10,2003-01-18,2003-01-14,Shipped,114,Australian Collectors Co.,Peter Ferguson,1076,Jeff Firrelli,3,NYC,S18_1342,1937 Lincoln Berline,Vintage Cars,39,95.55,2,orderdetails.csv,2026-09-22T00:00:00Z
10,10102,2003-01-10,2003-01-18,2003-01-14,Shipped,114,Australian Collectors Co.,Peter Ferguson,1076,Jeff Firrelli,3,NYC,S18_1367,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,41,43.13,1,orderdetails.csv,2026-09-22T00:00:00Z
11,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S10_1949,1952 Alpine Renault 1300,Classic Cars,26,214.3,11,orderdetails.csv,2026-09-22T00:00:00Z
12,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S10_4962,1962 LanciaA Delta 16V,Classic Cars,42,119.67,4,orderdetails.csv,2026-09-22T00:00:00Z
13,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S12_1666,1958 Setra Bus,Trucks and Buses,27,121.64,8,orderdetails.csv,2026-09-22T00:00:00Z
14,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S18_1097,1940 Ford Pickup Truck,Trucks and Buses,35,94.5,10,orderdetails.csv,2026-09-22T00:00:00Z
15,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S18_2432,1926 Ford Fire Engine,Trucks and Buses,22,58.34,2,orderdetails.csv,2026-09-22T00:00:00Z
16,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S18_2949,1913 Ford Model T Speedster,Vintage Cars,27,92.19,12,orderdetails.csv,2026-09-22T00:00:00Z
17,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S18_2957,1934 Ford V8 Coupe,Vintage Cars,35,61.84,14,orderdetails.csv,2026-09-22T00:00:00Z
18,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S18_3136,18th Century Vintage Horse Carriage,Vintage Cars,25,86.92,13,orderdetails.csv,2026-09-22T00:00:00Z
19,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S18_3320,1917 Maxwell Touring Car,Vintage Cars,46,86.31,16,orderdetails.csv,2026-09-22T00:00:00Z
20,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S18_4600,1940s Ford truck,Trucks and Buses,36,98.07,5,orderdetails.csv,2026-09-22T00:00:00Z
21,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S18_4668,1939 Cadillac Limousine,Vintage Cars,41,40.75,9,orderdetails.csv,2026-09-22T00:00:00Z
22,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S24_2300,1962 Volkswagen Microbus,Trucks and Buses,36,107.34,1,orderdetails.csv,2026-09-22T00:00:00Z
23,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S24_4258,1936 Chrysler Airflow,Vintage Cars,25,88.62,15,orderdetails.csv,2026-09-22T00:00:00Z
24,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S32_1268,1980�s GM Manhattan Express,Trucks and Buses,31,92.46,3,orderdetails.csv,2026-09-22T00:00:00Z
25,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,45,63.35,7,orderdetails.csv,2026-09-22T00:00:00Z
26,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,119,La Rochelle Gifts,Janine Labrune,1088,William Patterson,4,Paris,S700_2824,1982 Camaro Z28,Classic Cars,42,94.07,6,orderdetails.csv,2026-09-22T00:00:00Z
27,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,121,Baane Mini Imports,Jonas Bergulfsen,1102,Gerard Bondur,5,Tokyo,S12_3148,1969 Corvair Monza,Classic Cars,34,131.44,1,orderdetails.csv,2026-09-22T00:00:00Z
28,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,121,Baane Mini Imports,Jonas Bergulfsen,1102,Gerard Bondur,5,Tokyo,S12_4473,1957 Chevy Pickup,Trucks and Buses,41,111.39,9,orderdetails.csv,2026-09-22T00:00:00Z
29,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,121,Baane Mini Imports,Jonas Bergulfsen,1102,Gerard Bondur,5,Tokyo,S18_2238,1998 Chrysler Plymouth Prowler,Classic Cars,24,135.9,8,orderdetails.csv,2026-09-22T00:00:00Z
30,10104,2003-01-31,2003-02-09,2003-02-01,Shipped,121,Baane Mini Imports,Jonas Bergulfsen,1102,Gerard Bondur,5,Tokyo,S18_2319,1964 Mercedes Tour Bus,Trucks and Buses,29,122.73,12,orderdetails.csv,2026-09-22T00:00:00Z
