customer_key,customer_id,company,contact_name,phone,address,city_and_state,postal_code,country
1,103,Atelier graphique,Carine Schmitt,40.32.2555,54 Rue Royale,Nantes,44000,France
2,112,Signal Gift Stores,Jean King,7025551838,8940 Strong St.,Las Vegas NV,83030,USA
3,114,Australian Collectors Co.,Peter Ferguson,03 5422 4555,636 St Kilda Road Level 3,Melbourne Victoria,3004,Australia
4,119,La Rochelle Gifts,Janine Labrune,40.42.3677,43 Rue des Cinquante Otages,Nantes,44000,France
5,121,Baane Mini Imports,Jonas Bergulfsen,31 12 2555,2577 Erling Skakkes gate 78,Stavern,4110,Norway
6,124,Mini Gifts Distributors Ltd.,Susan Nelson,31 12 3545,5677 Strong St.,San Rafael CA,97562,USA
7,125,Havel & Zbyszek Co,Zbyszek  Piestrzeniewicz,(26) 642-7555,ul. Filtrowa 68,Warszawa,01-012,Poland
8,128,Blauer See Auto Co.,Roland Keitel,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany
9,129,Mini Wheels Co.,Julie Murphy,6505555787,5557 North Pendale Street,San Francisco CA,94217,USA
10,131,Land of Toys Inc.,Kwai Lee,2125557818,897 Long Airport Avenue,NYC NY,10022,USA
11,141,Euro+ Shopping Channel,Diego  Freyre,(91) 555 94 44,C/ Moralzarzal,Madrid,28034,Spain
12,144,Volvo Model Replicas Co,Christina  Berglund,0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden
13,145,Danish Wholesale Imports,Jytte  Petersen,31 12 3555,Vinbltet 34,Kobenhavn,1734,Denmark
14,146,Saveley & Henriot Co.,Mary  Saveley,78.32.5555,Rue du Commerce,Lyon,69004,France
15,148,Dragon Souveniers,Eric Natividad,+65 221 7555,Bronz Sok.,Singapore,79903,Singapore
16,151,Muscle Machine Inc,Jeff Young,2125557413,4092 Furth Circle,NYC NY,10022,USA
17,157,Diecast Classics Inc.,Kelvin Leong,2155551555,7586 Pompton St.,Allentown PA,70267,USA
18,161,Technics Stores Inc.,Juri Hashimoto,6505556809,9408 Furth Circle,Burlingame CA,94217,USA
19,166,Handji Gifts& Co,Wendy Victorino,+65 224 1555,106 Linden Road Sandown,Singapore,69045,Singapore
20,167,Herkku Gifts,Veysel Oeztan,+47 2267 3215,Brehmen St. 121,Bergen,5804,Norway  
21,168,American Souvenirs Inc,Keith Franco,2035557845,149 Spinnaker Dr.,New Haven CT,97823,USA
22,169,Porto Imports Co.,Isabel  de Castro,(1) 356-5555,Estrada da sade n. 58,Lisboa,1756,Portugal
23,171,Daedalus Designs Imports,Martine  Ranc�,20.16.1555,184 Chausse de Tournai ,Lille,59000,France
24,172,La Corne D'abondance Co.,Marie Bertrand,(1) 42.34.2555,265  boulevard Charonne,Paris,75012,France
25,173,Cambridge Collectables Co.,Jerry Tseng,6175555555,4658 Baden Av.,Cambridge MA,51247,USA
26,175,Gift Depot Inc.,Julie King,2035552570,25593 South Bay Ln.,Bridgewater CT,97562,USA
27,177,Osaka Souveniers Co.,Mory Kentary,+81 06 6342 5555,1-6-20 Dojima,Osaka, 530-0003,Japan
28,181,Vitachrome Inc.,Michael Frick,2125551500,2678 Kingston Rd.,NYC NY,10022,USA
29,186,Toys of Finland Co.,Matti Karttunen,90-224 8555,Keskuskatu 45,Helsinki,21240,Finland
30,187,AV Stores Co.,Rachel Ashworth,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
31,189,Clover Collections Co.,Dean Cassidy,+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland
32,198,Auto-Moto Classics Inc.,Leslie Taylor,6175558428,16780 Pompton St.,Brickhaven MA,58339,USA
33,201,UK Collectables,Elizabeth Devon,(171) 555-2282,12  Berkeley Gardens Blvd,Liverpool,WX1 6LT,UK
34,202,Canadian Gift Exchange Network,Yoshi  Tamuri,(604) 555-3392,1900 Oak St.,Vancouver BC,V3F 2K1,Canada
35,204,Online Mini Collectables,Miguel Barajas,6175557555,7635 Spinnaker Dr.,Brickhaven MA,58339,USA
36,205,Toys4GrownUps.com,Julie Young,6265557265,78934 Hillside Dr.,Pasadena CA,90003,USA
37,206,Asian Shopping Network Co,Brydey Walker,+612 9411 1555,Suntec Tower Three,Singapore,38988,Singapore
38,209,Mini Caravy,Frdrique  Citeaux,88.60.1555,24  place Klber,Strasbourg,67000,France
39,211,King Kong Collectables Co.,Mike Gao,+852 2251 1555,Bank of China Tower,1 Garden Road,Central Hong Kong,Hong Kong
40,216,Enaco Distributors,Eduardo  Saavedra,(93) 203 4555,Rambla de Catalua,Barcelona,8022,Spain
41,219,Boards & Toys Co.,Mary Young,3105552373,4097 Douglas Av.,Glendale CA,92561,USA
42,223,Naturlich Autos,Horst  Kloss,0372-555188,Taucherstra�e 10,Cunewalde,1307,Germany
43,227,Heintze Collectables,Palle Ibsen,86 21 3555,Smagsloget 45,rhus,8200,Denmark
44,233,Quebec Home Shopping Network,Jean  Fresni�re,(514) 555-8054,43 rue St. Laurent,Montral QC,H1J 1C3,Canada
45,237,ANG Resellers,Alejandra  Camino,(91) 745 6555,Gran V�a,Madrid,28001,Spain
46,239,Collectable Mini Designs Co.,Valarie Thompson,7605558146,361 Furth Circle,San Diego CA,91217,USA
47,240,giftsbymail.co.uk,Helen  Bennett,(198) 555-8888,Garden House Crowther Way 23,Cowes Isle of Wight,PO31 7PJ,UK
48,242,Alpha Cognac,Annette  Roulet,61.77.6555,1 rue Alsace-Lorraine,Toulouse,31000,France
49,247,Messner Shopping Network,Renate  Messner,069-0555984,Magazinweg 7,Frankfurt,60528,Germany
50,249,Amica Models & Co.,Paolo  Accorti,011-4988555,Via Monte Bianco 34,Torino,10100,Italy
51,250,Lyon Souveniers,Daniel Da Silva,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France
52,256,Auto Associ�s & Cie.,Daniel  Tonini,30.59.8555,67 avenue de l'Europe,Versailles,78000,France
53,259,Toms Spezialit�ten,Henriette  Pfalzheim,0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany
54,260,Royal Canadian Collectables,Elizabeth  Lincoln,(604) 555-4555,23 Tsawassen Blvd.,Tsawassen BC,T2F 8M4,Canada
55,273,Franken Gifts Co,Peter  Franken,089-0877555,Berliner Platz 43,Munchen,80805,Germany
56,276,Anna's Decorations,Anna O'Hara,02 9936 8555,201 Miller Street,North Sydney,2060,Australia
57,278,Rovelli Gifts,Giovanni  Rovelli,035-640555,Via Ludovico il Moro 22,Bergamo,24100,Italy
58,282,Souveniers And Things Co.,Adrian Huxley,+61 2 9495 8555,815 Pacific Hwy,Chatswood NSW,2067,Australia
59,286,Marta's Replicas Co.,Marta Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge MA,51247,USA
60,293,BG&E Collectables,Ed Harrison,+41 26 425 50 01,Rte des Arsenaux 41 ,Fribourg,1700,Switzerland
61,298,Vida Sport,Mihael Holz,0897-034555,Grenzacherweg 237,Geneve,1203,Switzerland
62,299,Norway Gifts By Mail Co.,Jan Klaeboe,+47 2212 1555,Drammensveien 126A,Oslo,106,Norway  
63,303,Schuyler Imports,Bradley Schuyler,+31 20 491 9555,Kingsfordweg 151,Amsterdam,1043 GR,Netherlands
64,307,Der Hund Imports,Mel Andersen,030-0074555,Obere Str. 57,Berlin,12209,Germany
65,311,Oulu Toy Supplies,Pirkko Koskitalo,981-443655,Torikatu 38,Oulu,90110,Finland
66,314,Petit Auto,Catherine  Dewey,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium
67,319,Mini Classics,Steve Frick,9145554562,3758 North Pendale Street,White Plains NY,24067,USA
68,320,Mini Creations Ltd.,Wing Huang,5085559555,4575 Hillside Dr.,New Bedford MA,50553,USA
69,321,Corporate Gift Ideas Co.,Julie Brown,6505551386,7734 Strong St.,San Francisco CA,94217,USA
70,323,Down Under Souveniers,Mike Graham,+64 9 312 5555,162-164 Grafton Road,Auckland,849485,New Zealand
71,324,Stylish Desk Decors Co.,Ann  Brown,(171) 555-0297,35 King George,London,WX3 6FW,UK
72,328,Tekni Collectables Inc.,William Brown,2015559350,7476 Moss Rd.,Newark NJ,94019,USA
73,333,Australian Gift Network Co,Ben Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia
74,334,Suominen Souveniers,Kalle Suominen,+358 9 8045 555,Software Engineering Center,Espoo,FIN-02271,Finland
75,335,Cramer Spezialit�ten,Philip  Cramer,0555-09555,Maubelstr. 90,Brandenburg,14776,Germany
76,339,Classic Gift Ideas,Francisca Cervantes,2155554695,782 First Street,Philadelphia PA,71270,USA
77,344,CAF Imports,Jesus Fernandez,+34 913 728 555,27-30 Merchant's Quay,Madrid,28023,Spain
78,347,Men 'R' US Retailers,Brian Chandler,2155554369,6047 Douglas Av.,Los Angeles CA,91003,USA
79,348,Asian Treasures,Patricia  McKenna,2967 555,8 Johnstown Road,Cork,484940,Ireland
80,350,Marseille Mini Autos,Laurence  Lebihan,91.24.4555,12  rue des Bouchers,Marseille,13008,France
81,353,Reims Collectables,Paul  Henriot,26.47.1555,59 rue de l'Abbaye,Reims,51100,France
82,356,SAR Distributors Co,Armand Kuger,+27 21 550 3555,1250 Pretorius Street,Hatfield Pretoria,28,South Africa
83,357,GiftsForHim.com,Wales MacKinlay,64-9-3763555,199 Great North Road,Auckland,12563,New Zealand
